slNo,name,code,id
1,Monroe Regional Airport,US-LA,79
2,Sui Airport,PK-BA,763
3,Chanute Martin Johnson Airport,US-KS,1002
4,Hayman Island Resort Seaplane Base,AU-QLD,
5,Jurien Bay Airport,AU-WA,15
6,Wynyard Airport,AU-TAS,62
7,Santana Ramos Airport,CO-HUI,6017
8,Kota Airport,IN-RJ,896
9,Terapo Airport,PG-GPK,15
10,Burketown Airport,AU-QLD,21
11,Al Wajh Domestic Airport,SA-07,66
12,Ignacio Agramonte International Airport,CU-09,413
13,Rolla National Airport,US-MO,1148
14,Hatchet Lake Airport,CA-SK,1362
15,Davenport Downs Airport,AU-QLD,95
16,Tom Price Airport,AU-WA,2300
17,Waterloo Airport,CA-ON,1055
18,Mitchell Airport,AU-QLD,1144
19,Hingurakgoda Air Force Base,LK-7,170
20,Lindeman Island Airport,AU-QLD,
21,Virac Airport,PH-CAT,121
22,Zunyi Xinzhou Airport,CN-52,2920
23,Gilgal Airport,CO-CHO,148
24,Quaqtaq Airport,CA-QC,103
25,Tongliao Airport,CN-15,2395
26,Braga Municipal Aerodrome,PT-03,247
27,Tumeremo Airport,VE-F,345
28,Naypyidaw Airport,MM-04,302
29,Comilla Airport,BD-2,25
30,Talasea Airport,PG-WBK,44
31,Ambatomainty Airport,MG-M,1025
32,Idaho County Airport,US-ID,3314
33,Gujrat Airport,PK-PB,760
34,Doomadgee Airport,AU-QLD,153
35,Astypalaia Airport,GR-81,165
36,Guardiamarina Zañartu Airport,CL-MA,88
37,Henry Tift Myers Airport,US-GA,355
38,Wotje Atoll Airport,MH-WTJ,4
39,Vijayanagar Aerodrome (JSW),IN-KA,1670
40,Auvergne Airport,AU-NT,
41,Sola Airport,VU-TOB,7
42,Auburn Municipal Airport,US-CA,1539
43,Pongtiku Airport,ID-SN,2884
44,Granite Mountain Air Station,US-AK,1313
45,Aratika Nord Airport,PF-U-A,10
46,Ataq Airport,YE-AB,3735
47,Mihail Kogălniceanu International Airport,RO-CT,353
48,Kamberatoro Airport,PG-SAN,1350
49,São Filipe Airport,CV-S,617
50,Ziguinchor Airport,SN-ZG,75
51,Blue Canyon Nyack Airport,US-CA,5284
52,Coulter Field,US-TX,367
53,Redding Municipal Airport,US-CA,505
54,Mbuji Mayi Airport,CD-KE,2221
55,China Strait Airstrip,PG-MBA,10
56,Clarence A. Bain Airport,BS-KB,19
57,Kenitra Airport,MA-KEN,16
58,William P Hobby Airport,US-TX,46
59,Moose Lake Airport,CA-MB,
60,Nîmes-Arles-Camargue Airport,FR-K,309
61,Cunnamulla Airport,AU-QLD,630
62,Kapal Airport,PG-WPD,170
63,Pine Island Airport,US-NC,16
64,Esperance Airport,AU-WA,470
65,Bemidji Regional Airport,US-MN,1391
66,Horta Airport,PT-20,118
67,Torrington Municipal Airport,US-WY,4207
68,Mainoru Airstrip,AU-NT,365
69,Abaco I Walker C Airport,BS-GT,10
70,Gothenburg City Airport,SE-Q,59
71,Samuels Field,US-KY,669
72,General WM J Fox Airfield,US-CA,2351
73,Sierra Blanca Regional Airport,US-NM,6814
74,Galion Municipal Airport,US-OH,1224
75,Storuman Airport,SE-AC,915
76,Sultan Mahmud Badaruddin II Airport,ID-SS,49
77,Riachão Airport,BR-MA,1312
78,Ibadan Airport,NG-OY,725
79,Dover Air Force Base,US-DE,24
80,Marechal Cunha Machado International Airport,BR-MA,178
81,Long Banga Airport,MY-13,750
82,Mossel Bay Airport,ZA-WC,531
83,Birchwood-Pocono Airport,US-PA,965
84,Xichang Qingshan Airport,CN-51,5112
85,Kazan International Airport,RU-TA,411
86,Batagay Airport,RU-SA,696
87,El Bagre Airport,CO-ANT,180
88,Rach Gia Airport,VN-47,7
89,Blackall Airport,AU-QLD,928
90,Grundarfjörður Airport,IS-3,17
91,Antrim County Airport,US-MI,623
92,Manang Airport,NP-GA,11001
93,Eastern Sierra Regional Airport,US-CA,4124
94,Carutapera Airport,BR-MA,85
95,Chetwynd Airport,CA-BC,2000
96,A Coruña Airport,ES-GA,326
97,Jundah Airport,AU-QLD,145
98,Masa Airport,PG-MPL,5900
99,Prefeito Octávio de Almeida Neves Airport,BR-MG,3117
100,Ainsworth Regional Airport,US-NE,2589
